apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Carlos Eduardo,Athlético-PR,Atacante,7.88,-1.0,-1.03,2.9,2,2
Matheus Peixoto,Juventude,Atacante,11.77,2.0,1.05,6.7,2,2
Luiz Adriano,Palmeiras,Atacante,10.04,8.7,1.89,5.2,2,2
Mendoza,Ceará,Atacante,8.0,0.0,0.0,0.0,2,0
Vitinho,Athlético-PR,Atacante,5.15,0.0,-0.7,1.7,2,2
Rodolfo José,América-MG,Atacante,6.27,0.3,-0.97,1.85,2,2
Matheus Babi,Athlético-PR,Atacante,5.13,2.2,-0.37,1.55,2,2
Janderson,Atlético-GO,Atacante,3.36,-0.5,-1.64,-0.5,2,1
Ribamar,América-MG,Atacante,1.89,-0.6,-1.11,-0.6,2,1
Marinho,Santos,Atacante,18.16,4.7,-2.03,5.35,2,2
Vinicius Mingotti,Athlético-PR,Atacante,3.0,0.0,0.0,0.0,2,0
Leandro Carvalho,América-MG,Atacante,5.0,0.0,0.0,0.0,2,0
Reinaldo,Athlético-PR,Atacante,3.0,0.0,0.0,0.0,2,0
Maycon Douglas,Bahia,Atacante,1.68,1.1,-0.41,0.05,2,2
Pablo Dyego,Atlético-GO,Atacante,3.0,0.0,0.0,0.0,2,0
Roberson,Juventude,Atacante,5.0,0.0,0.0,0.0,2,0
Danilo Gomes,São Paulo,Atacante,4.0,0.0,0.0,0.0,2,0
Jael,Ceará,Atacante,6.0,0.0,0.0,0.0,2,0
André Luís,Atlético-GO,Atacante,3.2,0.8,-0.8,0.8,2,1
Luciano,São Paulo,Atacante,10.65,4.5,-1.67,2.1,2,2
Savarino,Atlético-MG,Atacante,6.82,0.0,0.0,-0.2,2,1
Marrony,Atlético-MG,Atacante,4.58,0.8,-0.71,1.2,2,2
Jô,Corinthians,Atacante,6.06,0.0,0.0,0.7,2,1
Arthur Gomes,Atlético-GO,Atacante,5.0,0.0,0.0,0.0,2,0
Keno,Atlético-MG,Atacante,16.0,0.0,0.0,0.0,2,0
Elton,Cuiabá,Atacante,10.79,0.0,0.0,8.5,2,1
Echaporã,Atlético-MG,Atacante,2.0,0.0,0.0,0.0,2,0
Eder,São Paulo,Atacante,5.4,1.3,-0.94,1.2,2,2
Joao Rojas,São Paulo,Atacante,5.19,-0.7,-1.21,1.25,2,2
Sávio,Atlético-MG,Atacante,3.41,0.0,0.0,1.9,2,1
Cuello,Bragantino,Atacante,7.5,10.0,3.88,6.1,2,2
Leandrinho,Bragantino,Atacante,3.0,0.0,0.0,0.0,2,0
Alesson,Bahia,Atacante,2.7,1.3,-0.3,1.3,2,1
Saulo Mineiro,Ceará,Atacante,9.55,3.5,1.13,5.3,2,2
Bruno Tubarão,Bragantino,Atacante,5.0,0.0,0.0,0.0,2,0
Felipe Vizeu,Ceará,Atacante,3.79,0.5,-1.21,0.5,2,1
Pedrinho,Bragantino,Atacante,4.07,3.4,0.73,2.1,2,2
Luis Phelipe,Bragantino,Atacante,2.0,0.0,0.0,0.0,2,0
Vitor Bueno,São Paulo,Atacante,6.0,0.0,0.0,0.0,2,0
Galeano,São Paulo,Atacante,2.1,-0.1,-0.9,-0.1,2,1
Mike,Chapecoense,Atacante,1.53,-0.1,-0.63,0.0,2,2
Paulinho Bóia,São Paulo,Atacante,2.0,0.0,0.0,0.0,2,0
Cléber,Ceará,Atacante,12.37,-0.1,-0.44,5.65,2,2
Chrigor,Bragantino,Atacante,2.0,0.0,0.0,0.0,2,0
Bruno Rodrigues,São Paulo,Atacante,3.0,0.0,0.0,0.0,2,0
Rick,Ceará,Atacante,11.17,0.3,0.59,6.25,2,2
Alerrandro,Bragantino,Atacante,4.96,-0.1,-2.04,-0.1,2,1
Geuvânio,Chapecoense,Atacante,3.38,0.5,-0.45,1.0,2,2
Ytalo,Bragantino,Atacante,13.39,7.7,2.39,7.75,2,2
Hurtado,Bragantino,Atacante,4.0,0.0,0.0,0.0,2,0
Pablo,São Paulo,Atacante,5.57,0.0,0.0,1.0,2,1
Anselmo Ramon,Chapecoense,Atacante,3.18,-0.1,-1.21,0.1,2,2
Pedro,Flamengo,Atacante,12.67,0.0,0.0,8.2,2,1
Yuri Alberto,Internacional,Atacante,2.09,-1.0,-1.67,-0.8,2,2
Michael,Flamengo,Atacante,3.27,0.0,0.0,0.7,2,1
Thiaguinho,Flamengo,Atacante,2.0,0.0,0.0,0.0,2,0
Cauê,Corinthians,Atacante,2.0,0.0,0.0,0.0,2,0
Taison,Internacional,Atacante,10.09,0.0,0.0,2.5,2,1
Rodrigo Muniz,Flamengo,Atacante,2.44,0.0,0.0,-0.5,2,1
Thiago Galhardo,Internacional,Atacante,6.6,-2.0,-3.84,-2.0,2,1
Marcos Guilherme ,Santos,Atacante,5.44,5.6,1.47,3.15,2,2
Kayky,Fluminense,Atacante,3.77,0.0,-1.1,0.5,2,2
John Kennedy,Fluminense,Atacante,4.0,0.0,0.0,0.0,2,0
Paolo Guerrero,Internacional,Atacante,13.0,0.0,0.0,0.0,2,0
Thiago Ribeiro,Chapecoense,Atacante,4.0,0.0,0.0,0.0,2,0
Abel Hernández,Fluminense,Atacante,3.83,0.7,-0.83,0.7,2,2
Caio Vidal,Internacional,Atacante,4.41,-1.0,-1.16,1.0,2,2
Lucca,Fluminense,Atacante,3.36,-0.5,-1.64,-0.5,2,1
Peglow,Internacional,Atacante,3.0,0.0,0.0,0.0,2,0
Fernandinho,Chapecoense,Atacante,0.84,0.3,-0.16,0.3,2,1
Bobadilla,Fluminense,Atacante,5.92,0.0,0.0,0.5,2,1
Rony,Palmeiras,Atacante,8.85,3.6,-0.69,2.65,2,2
Caio Paulista,Fluminense,Atacante,8.97,1.0,0.62,5.0,2,2
Palacios,Internacional,Atacante,2.99,0.0,0.0,-1.7,2,1
Maxi Zalazar,Internacional,Atacante,2.0,0.0,0.0,0.0,2,0
Breno Lopes,Palmeiras,Atacante,6.0,0.0,0.0,0.0,2,0
Willian,Palmeiras,Atacante,6.86,1.0,-2.14,1.0,2,1
Gabriel Veron,Palmeiras,Atacante,5.0,0.0,0.0,0.0,2,0
Gabriel Silva,Palmeiras,Atacante,2.0,0.0,0.0,0.0,2,0
Bruno Silva,Chapecoense,Atacante,1.34,0.0,-0.61,-0.1,2,2
Rafael Elias,Cuiabá,Atacante,0.79,-0.3,-0.53,-0.2,2,2
Jonathan Cafu,Cuiabá,Atacante,11.72,2.3,1.42,7.05,2,2
Wesley,Palmeiras,Atacante,8.53,13.0,3.87,5.85,2,2
Robson,Fortaleza,Atacante,12.88,8.4,2.85,7.9,2,2
Guilherme Pato,Cuiabá,Atacante,6.86,2.1,0.8,3.9,2,2
Alan Mendez,Cuiabá,Atacante,2.0,0.0,0.0,0.0,2,0
Paulinho Moccelin,Sport,Atacante,3.99,0.1,-0.54,1.3,2,2
Romarinho,Fortaleza,Atacante,4.9,1.0,-0.6,1.45,2,2
Osman,Cuiabá,Atacante,1.84,-0.7,-1.16,-0.7,2,1
Carlos Alberto,América-MG,Atacante,2.0,0.0,0.0,0.0,2,0
Osvaldo,Fortaleza,Atacante,6.0,0.0,0.0,0.0,2,0
Isaque,Fortaleza,Atacante,5.0,0.0,0.0,0.0,2,0
Kawê,América-MG,Atacante,1.0,0.0,0.0,0.0,2,0
Copete,Santos,Atacante,3.0,0.0,0.0,0.0,2,0
Lucas Braga,Santos,Atacante,3.62,0.0,0.0,-0.8,2,1
Gustavo Mosquito,Corinthians,Atacante,5.36,0.9,-0.84,1.4,2,2
Raniel,Santos,Atacante,5.0,0.0,0.0,0.0,2,0
Igor Torres,Fortaleza,Atacante,3.0,0.0,0.0,0.0,2,0
Pepê,Grêmio,Atacante,10.0,0.0,0.0,0.0,2,0
Kaio Jorge,Santos,Atacante,8.44,10.1,3.01,5.45,2,2
Léo Pereira,Grêmio,Atacante,1.32,0.0,0.0,-0.1,2,1
Guilherme Azevedo,Grêmio,Atacante,2.09,0.0,0.0,0.0,2,1
Ricardinho,Grêmio,Atacante,9.61,0.0,0.0,9.8,2,1
Léo Chú,Grêmio,Atacante,8.22,0.0,0.0,5.8,2,1
Churín,Grêmio,Atacante,5.0,0.0,0.0,0.0,2,0
Bruno Marques,Santos,Atacante,4.0,0.0,0.0,0.0,2,0
Capixaba,Juventude,Atacante,10.75,6.6,2.19,6.45,2,2
Fabinho,Chapecoense,Atacante,2.92,1.8,-0.08,1.8,2,1
Kaio,Chapecoense,Atacante,1.0,0.0,0.0,0.0,2,0
Rafael Grampola,Juventude,Atacante,3.0,0.0,0.0,0.0,2,0
Renyer,Santos,Atacante,2.0,0.0,0.0,0.0,2,0
Marcos Leonardo,Santos,Atacante,2.79,0.7,-0.69,0.35,2,2
Léo Natel,Corinthians,Atacante,3.44,-0.3,-1.56,-0.3,2,1
Ângelo,Santos,Atacante,1.51,0.4,-0.44,0.1,2,2
Nicolas,Juventude,Atacante,1.0,0.0,0.0,0.0,2,0
Marcos Vinicios,Juventude,Atacante,1.69,1.8,0.37,0.85,2,2
Tréllez,Sport,Atacante,2.82,-0.1,-1.18,-0.1,2,1
Neilton,Sport,Atacante,6.0,0.0,0.0,0.0,2,0
Marcelinho,Palmeiras,Atacante,1.0,0.0,0.0,0.0,2,0
Pedro Acácio,Palmeiras,Atacante,1.0,0.0,0.0,0.0,2,0
Maxwell,Sport,Atacante,2.84,0.4,-0.29,0.95,2,2
Leandro Barcia,Sport,Atacante,4.0,0.0,0.0,0.0,2,0
Everaldo ,Sport,Atacante,5.0,0.0,0.0,0.0,2,0
Marquinhos,Sport,Atacante,3.75,2.1,0.2,1.6,2,2
Fernando Pacheco,Juventude,Atacante,1.6,0.0,-0.84,-0.25,2,2
Toró,Sport,Atacante,5.0,0.0,0.0,0.0,2,0
Deyverson,Palmeiras,Atacante,5.0,0.0,0.0,0.0,2,0
André,Sport,Atacante,9.62,-1.5,-1.03,3.9,2,2
Mikael,Sport,Atacante,3.05,0.4,-0.78,0.45,2,2
Jenison,Cuiabá,Atacante,1.0,0.0,0.0,0.0,2,0
Elias,Grêmio,Atacante,2.0,0.0,0.0,0.0,2,0
Douglas Costa,Grêmio,Atacante,17.0,0.0,0.0,0.0,2,0
Kevin,Atlético-GO,Atacante,1.0,0.0,0.0,0.0,2,0
Julimar,Athlético-PR,Atacante,1.0,0.0,0.0,0.0,2,0
Ronald,Atlético-GO,Atacante,2.78,0.0,0.0,3.0,2,1
Yago,Athlético-PR,Atacante,1.0,0.0,0.0,0.0,2,0
Mateus Lima,Flamengo,Atacante,1.0,0.0,0.0,0.0,2,0
Lucão,Atlético-GO,Atacante,0.71,-2.2,0.01,-1.65,2,2
Marcelo Ryan ,Bahia,Atacante,2.0,0.0,0.0,0.0,2,0
Gustavo Coutinho,Fortaleza,Atacante,2.0,0.0,0.0,0.0,2,0
Luan Silva,Palmeiras,Atacante,2.0,0.0,0.0,0.0,2,0
Raul,Cuiabá,Atacante,2.0,0.0,0.0,0.0,2,0
Marino,Palmeiras,Atacante,1.0,0.0,0.0,0.0,2,0
Jajá,Athlético-PR,Atacante,1.0,0.0,0.0,0.0,2,0
