apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Mayke,Palmeiras,Lateral,4.59,0.7,-1.41,0.7,2,1
Pará,Santos,Lateral,1.64,-4.1,-3.16,-2.1,2,2
Carlinhos,Fortaleza,Lateral,6.0,0.0,0.0,0.0,2,0
Victor Luis,Palmeiras,Lateral,4.77,1.3,-0.24,1.75,2,2
Esteves,Palmeiras,Lateral,2.31,0.4,-0.69,0.4,2,1
Marcos Rocha,Palmeiras,Lateral,10.0,0.0,0.0,0.0,2,0
Vitor Hugo,América-MG,Lateral,1.0,0.0,0.0,0.0,2,0
Bruno Melo,Fortaleza,Lateral,3.76,0.0,0.0,-0.6,2,1
Madson,Santos,Lateral,3.04,0.0,-0.93,0.35,2,2
Lucas Luan,América-MG,Lateral,1.0,0.0,0.0,0.0,2,0
Thalys,América-MG,Lateral,1.0,0.0,0.0,0.0,2,0
Márcio Azevedo,Athlético-PR,Lateral,5.0,0.0,0.0,0.0,2,0
Leonardo,Grêmio,Lateral,5.0,0.0,0.0,0.0,2,0
Bruno Cortez,Grêmio,Lateral,5.36,0.0,0.0,1.7,2,1
Diogo Barbosa,Grêmio,Lateral,5.92,0.0,0.0,0.5,2,1
Vanderson,Grêmio,Lateral,10.58,0.0,0.0,10.2,2,1
Victor Ferraz,Grêmio,Lateral,6.0,0.0,0.0,0.0,2,0
Eltinho,Juventude,Lateral,3.48,0.0,0.0,0.0,2,1
Paulo Henrique,Juventude,Lateral,0.7,0.0,0.0,-0.2,2,1
Patric,Sport,Lateral,5.0,0.0,-2.0,0.0,2,1
Sandro,Santos,Lateral,1.0,0.0,0.0,0.0,2,0
Dudu,Juventude,Lateral,2.0,0.0,0.0,0.0,2,0
Sander,Sport,Lateral,2.99,0.0,0.0,-1.7,2,1
Gustavo Garcia,Palmeiras,Lateral,1.0,0.0,0.0,0.0,2,0
Lucas Piton,Corinthians,Lateral,6.74,4.7,1.52,4.1,2,2
Júnior Tavares,Sport,Lateral,6.36,3.0,0.58,3.15,2,2
Vanderlan,Palmeiras,Lateral,1.0,0.0,0.0,0.0,2,0
Carlos Henrique,Atlético-GO,Lateral,1.0,0.0,0.0,0.0,2,0
Lucas Hernández,Cuiabá,Lateral,2.0,0.0,0.0,0.0,2,0
Alan Ruschel,América-MG,Lateral,2.36,0.7,-0.49,0.4,2,2
Ewerthon,Sport,Lateral,3.0,0.0,0.0,0.0,2,0
Alyson,Juventude,Lateral,0.71,0.4,-0.68,-0.8,2,2
Elias Lira,Sport,Lateral,1.0,0.0,0.0,0.0,2,0
Renan Guedes,Bahia,Lateral,4.45,-1.8,-0.7,1.8,2,2
Guilherme Biro,Corinthians,Lateral,1.0,0.0,0.0,0.0,2,0
Lucas Ramon ,Cuiabá,Lateral,2.23,0.0,0.0,0.2,2,1
Mazetti,Internacional,Lateral,1.0,0.0,0.0,0.0,2,0
Michel,Juventude,Lateral,0.71,0.9,-0.54,-0.65,2,2
Marlon ,América-MG,Lateral,4.61,1.6,0.36,2.35,2,2
Vinícius Kaue,Athlético-PR,Lateral,2.0,0.0,0.0,0.0,2,0
Victor Gabriel,Sport,Lateral,1.0,0.0,0.0,0.0,2,0
Arthur Henrique,Atlético-GO,Lateral,2.0,0.0,0.0,0.0,2,0
João Paulo,América-MG,Lateral,6.0,0.0,0.0,0.0,2,0
Moraes,Santos,Lateral,3.0,0.0,0.0,0.0,2,0
Khellven ,Athlético-PR,Lateral,4.94,0.0,0.0,4.1,2,1
João Lucas,Cuiabá,Lateral,1.5,3.0,0.8,1.0,2,2
Jefté,Fluminense,Lateral,2.0,0.0,0.0,0.0,2,0
Filipe Luís,Flamengo,Lateral,5.36,0.0,0.0,2.7,2,1
Hayner,Sport,Lateral,3.91,2.9,0.78,2.2,2,2
Léo,São Paulo,Lateral,9.25,-0.6,-0.22,4.5,2,2
Daniel Guedes ,Fortaleza,Lateral,2.44,0.0,0.0,-0.5,2,1
Guilherme Guedes,Grêmio,Lateral,2.0,0.0,0.0,0.0,2,0
