apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Rodrigo Moledo,Internacional,Zagueiro,7.0,0.0,0.0,0.0,2,0
Zé Gabriel,Internacional,Zagueiro,1.91,-2.2,-2.09,-2.2,2,1
Pedro Henrique,Internacional,Zagueiro,0.71,-3.6,-2.29,-3.6,2,1
Jemerson,Corinthians,Zagueiro,7.0,0.0,0.0,0.0,2,0
Marllon,Cuiabá,Zagueiro,3.0,0.9,-0.34,0.85,2,2
Anderson Conceição,Cuiabá,Zagueiro,2.78,0.0,0.0,-1.0,2,1
Luan,Palmeiras,Zagueiro,4.09,2.1,-0.02,1.5,2,2
Nino,Fluminense,Zagueiro,10.93,0.0,0.0,7.7,2,1
Alan Empereur,Palmeiras,Zagueiro,5.64,0.0,0.0,3.1,2,1
Rafael Ribeiro,Fluminense,Zagueiro,2.0,0.0,0.0,0.0,2,0
Kuscevic,Palmeiras,Zagueiro,5.0,0.0,0.0,0.0,2,0
Wanderson,Fortaleza,Zagueiro,3.0,0.0,0.0,0.0,2,0
Quintero,Fortaleza,Zagueiro,5.0,0.0,0.0,0.0,2,0
Luiz Felipe,Santos,Zagueiro,3.72,2.0,-0.28,2.0,2,1
Marcelo Benevenuto,Fortaleza,Zagueiro,4.01,0.2,-1.0,0.7,2,2
Jackson,Fortaleza,Zagueiro,4.0,0.0,0.0,0.0,2,0
Rodrigues,Grêmio,Zagueiro,4.0,0.0,0.0,0.0,2,0
Alex,Santos,Zagueiro,3.0,0.0,0.0,0.0,2,0
Ruan,Grêmio,Zagueiro,1.95,0.0,0.0,-0.2,2,1
Rafael Forster,Juventude,Zagueiro,1.81,-0.6,-1.04,-0.25,2,2
Derlan,Chapecoense,Zagueiro,0.94,0.6,-0.17,0.1,2,2
Paulo Miranda,Grêmio,Zagueiro,4.0,0.0,0.0,0.0,2,0
Wellington,Santos,Zagueiro,2.0,0.0,0.0,0.0,2,0
Vitor Mendes,Juventude,Zagueiro,1.88,2.5,0.91,1.45,2,2
Hiago,Chapecoense,Zagueiro,2.0,0.0,0.0,0.0,2,0
Derick ,Santos,Zagueiro,2.0,0.0,0.0,0.0,2,0
Kelvin,Juventude,Zagueiro,2.0,0.0,0.0,0.0,2,0
Rafael Thyere,Sport,Zagueiro,1.86,-1.4,-1.34,-0.4,2,2
Cleberson,Juventude,Zagueiro,3.42,1.3,-0.58,1.3,2,1
Léo Santos,Corinthians,Zagueiro,2.0,0.0,0.0,0.0,2,0
Bruno Méndez,Corinthians,Zagueiro,5.0,0.0,0.0,0.0,2,0
Iago Maidana,Sport,Zagueiro,7.0,0.0,0.0,0.0,2,0
Michel,Palmeiras,Zagueiro,1.0,0.0,0.0,0.0,2,0
Sabino,Sport,Zagueiro,4.24,1.3,-0.56,1.1,2,2
Chico,Sport,Zagueiro,2.0,0.0,0.0,0.0,2,0
Vitor Hugo,Cuiabá,Zagueiro,1.0,0.0,0.0,0.0,2,0
Micael,Atlético-MG,Zagueiro,2.0,0.0,0.0,0.0,2,0
Rodolfo Moisés,América-MG,Zagueiro,1.0,0.0,0.0,0.0,2,0
Luiz Gustavo,Cuiabá,Zagueiro,4.0,0.0,0.0,0.0,2,0
Zé Vitor,América-MG,Zagueiro,1.0,0.0,0.0,0.0,2,0
João Victor,Corinthians,Zagueiro,5.76,5.1,0.76,5.1,2,1
Gustavo Henrique,Bahia,Zagueiro,2.0,0.0,0.0,0.0,2,0
Otávio,Flamengo,Zagueiro,2.0,0.0,0.0,0.0,2,0
Wálber,Cuiabá,Zagueiro,2.0,0.0,0.0,0.0,2,0
Raul Gustavo,Corinthians,Zagueiro,3.06,0.0,0.0,1.4,2,1
Tiago Barbosa,Internacional,Zagueiro,1.0,0.0,0.0,0.0,2,0
Rodrigo Freitas,São Paulo,Zagueiro,3.0,0.0,0.0,0.0,2,0
Emanuel,Grêmio,Zagueiro,2.0,0.0,0.0,0.0,2,0
Luís Otávio,Cuiabá,Zagueiro,2.0,0.0,0.0,0.0,2,0
Júlio,América-MG,Zagueiro,1.0,0.0,0.0,0.0,2,0
Danilo Boza,Santos,Zagueiro,2.1,-0.1,-0.9,-0.1,2,1
Heitor,Grêmio,Zagueiro,1.0,0.0,0.0,0.0,2,0
Pedro Victor,Sport,Zagueiro,1.0,0.0,0.0,0.0,2,0
Joaquim,Cuiabá,Zagueiro,2.0,0.0,0.0,0.0,2,0
Luan,Fluminense,Zagueiro,1.0,0.0,0.0,0.0,2,0
Everton Sena,Cuiabá,Zagueiro,3.0,0.0,0.0,0.0,2,0
Titi,Fortaleza,Zagueiro,7.36,8.5,3.04,5.35,2,2
Thiago Heleno,Athlético-PR,Zagueiro,10.77,6.1,1.23,5.4,2,2
Didi,Juventude,Zagueiro,2.0,0.0,0.0,0.0,2,0
Pedro Henrique,Athlético-PR,Zagueiro,8.84,0.0,0.0,5.7,2,1
Henri,Palmeiras,Zagueiro,1.0,0.0,0.0,0.0,2,0
Renan,Palmeiras,Zagueiro,3.33,1.1,-0.67,1.1,2,1
Kaiky,Santos,Zagueiro,3.76,0.0,0.0,1.4,2,1
Felipe Siedekum,América-MG,Zagueiro,1.0,0.0,0.0,0.0,2,0
Ignácio,Chapecoense,Zagueiro,2.0,0.0,0.0,0.0,2,0
Luccas Claro,Fluminense,Zagueiro,11.89,0.0,0.0,5.5,3,2
Pedro Geromel,Grêmio,Zagueiro,6.9,0.7,-2.5,-0.4,3,2
Kannemann,Grêmio,Zagueiro,8.58,1.3,-2.42,1.3,3,1
Léo Ortiz,Bragantino,Zagueiro,7.12,1.8,0.03,2.8,3,3
Thiago Heleno,Athlético-PR,Zagueiro,11.23,4.6,0.46,5.13,3,3
Víctor Cuesta,Internacional,Zagueiro,8.59,4.1,0.41,1.73,3,3
Laércio,Chapecoense,Zagueiro,4.17,0.0,0.0,1.3,3,2
Gil,Corinthians,Zagueiro,4.65,-0.1,-0.84,0.83,3,3
Paulão,Cuiabá,Zagueiro,4.92,0.0,0.0,-0.2,3,1
Luiz Otávio,Ceará,Zagueiro,7.0,0.0,0.0,0.0,3,0
Pedro Henrique,Athlético-PR,Zagueiro,9.77,6.1,0.93,5.9,3,2
Anderson Jesus,América-MG,Zagueiro,2.27,1.4,0.22,0.9,3,3
Luan Peres ,Santos,Zagueiro,4.54,2.2,0.4,0.5,3,3
Gustavo Gómez,Palmeiras,Zagueiro,12.67,0.0,0.0,1.2,3,1
Igor Rabello,Atlético-MG,Zagueiro,4.85,6.6,1.64,2.23,3,3
Eduardo Bauermann,América-MG,Zagueiro,0.88,1.0,0.17,-0.6,3,3
Ricardo Silva,América-MG,Zagueiro,2.39,0.5,-0.61,0.5,3,1
Aguilar,Athlético-PR,Zagueiro,4.0,0.0,0.0,0.0,3,0
Rodrigo Caio,Flamengo,Zagueiro,13.01,12.0,2.22,8.25,3,2
Lucas Halter,Athlético-PR,Zagueiro,4.0,0.0,0.0,0.0,3,0
Zé Ivaldo,Athlético-PR,Zagueiro,6.65,8.5,2.32,6.8,3,2
Luan Patrick,Athlético-PR,Zagueiro,2.0,0.0,0.0,0.0,3,0
Oliveira,Atlético-GO,Zagueiro,4.0,0.0,0.0,0.0,3,0
Michel,Atlético-GO,Zagueiro,1.0,0.0,0.0,0.0,3,0
Éder ,Atlético-GO,Zagueiro,10.87,0.0,0.0,8.45,3,2
Nathan Silva,Atlético-GO,Zagueiro,6.84,0.0,0.0,4.5,3,2
Réver,Atlético-MG,Zagueiro,9.76,7.2,1.39,6.7,3,2
Júnior Alonso,Atlético-MG,Zagueiro,8.77,0.0,0.0,0.6,3,1
Gabriel,Atlético-MG,Zagueiro,6.43,0.0,0.0,5.0,3,1
Bueno,Atlético-MG,Zagueiro,3.0,0.0,0.0,0.0,3,0
