apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Ruan,Corinthians,Meia,1.0,0.0,0.0,0.0,1,0
Denner,Athlético-PR,Meia,1.0,0.0,0.0,0.0,1,0
Alvarado,Athlético-PR,Meia,3.0,0.0,0.0,0.0,1,0
Yago Pikachu,Fortaleza,Meia,14.83,15.3,8.83,15.3,1,1
Daniel Cabral,Flamengo,Meia,1.0,0.0,0.0,0.0,1,0
Edwin Mosquera,Juventude,Meia,3.0,0.0,0.0,0.0,1,0
Geovane,Athlético-PR,Meia,1.0,0.0,0.0,0.0,1,0
Fernando Henrique,Grêmio,Meia,1.0,0.0,0.0,0.0,1,0
Caio Cunha,Palmeiras,Meia,1.0,0.0,0.0,0.0,1,0
Luis Mandaca,Corinthians,Meia,2.0,0.0,0.0,0.0,1,0
Kevyn ,América-MG,Meia,1.0,0.0,0.0,0.0,1,0
Terans,Athlético-PR,Meia,6.82,4.8,1.82,4.8,1,1
Kevin Malthus,Santos,Meia,2.0,0.0,0.0,0.0,1,0
Shaylon,São Paulo,Meia,4.11,1.9,0.11,1.9,1,1
Adson,Corinthians,Meia,1.67,0.4,-0.33,0.4,1,1
Ramon César,Palmeiras,Meia,1.0,0.0,0.0,0.0,1,0
Fabinho,Palmeiras,Meia,1.0,0.0,0.0,0.0,1,0
Talles,São Paulo,Meia,2.0,0.0,0.0,0.0,1,0
Bruninho,Juventude,Meia,4.0,0.0,0.0,0.0,1,0
Victor Bobsin,Grêmio,Meia,1.0,0.0,0.0,0.0,1,0
Edson,Bahia,Meia,4.0,0.0,0.0,0.0,1,0
Jaderson,Athlético-PR,Meia,2.0,0.0,0.0,0.0,1,0
Vitinho,Corinthians,Meia,2.0,0.0,0.0,0.0,1,0
Gustavo Oliveira,Sport,Meia,5.92,6.5,3.92,6.5,1,1
Murilo Rangel,Cuiabá,Meia,2.0,0.0,0.0,0.0,1,0
Jhonata Robert,Grêmio,Meia,0.7,-5.1,-1.3,-5.1,1,1
Guilherme Nunes,Santos,Meia,3.0,0.0,0.0,0.0,1,0
Rodrigues,Atlético-GO,Meia,1.0,0.0,0.0,0.0,1,0
Gabriel Pirani,Santos,Meia,3.13,0.5,-0.87,0.5,1,1
Sandry,Santos,Meia,5.0,0.0,0.0,0.0,1,0
Ivonei,Santos,Meia,3.0,0.0,0.0,0.0,1,0
Vinícius Balieiro,Santos,Meia,4.0,0.0,0.0,0.0,1,0
André,Fluminense,Meia,3.0,0.0,0.0,0.0,1,0
Marcão Silva,Sport,Meia,4.8,0.9,-1.2,0.9,1,1
Ricardinho,Sport,Meia,3.34,1.8,0.34,1.8,1,1
Betinho,Sport,Meia,5.0,0.0,0.0,0.0,1,0
Ronaldo Henrique,Sport,Meia,4.0,0.0,0.0,0.0,1,0
Rodriguinho,Bahia,Meia,4.57,1.8,-1.35,0.15,2,2
Marlon Freitas,Atlético-GO,Meia,4.57,3.7,0.39,1.85,2,2
Mateus Vital,Corinthians,Meia,6.13,0.0,0.0,0.8,2,1
Ramiro,Corinthians,Meia,2.42,0.7,-0.99,-0.2,2,2
Luan,Corinthians,Meia,2.37,-0.7,-1.53,-0.55,2,2
Thaciano,Bahia,Meia,17.64,1.3,0.93,9.65,2,2
Gerson,Flamengo,Meia,10.3,0.0,0.0,2.8,2,1
Everton Ribeiro,Flamengo,Meia,8.35,0.0,0.0,0.0,2,1
Diego,Flamengo,Meia,6.27,0.0,0.0,1.0,2,1
Thiago Neves,Sport,Meia,12.48,-0.2,-1.23,4.75,2,2
Nenê,Fluminense,Meia,2.72,0.1,-2.71,-2.05,2,2
Vina,Ceará,Meia,15.99,7.3,-2.01,7.3,2,1
Óscar Ruíz,Bahia,Meia,5.22,0.5,-1.78,0.5,2,1
Raul,Bragantino,Meia,5.0,0.0,0.0,0.0,2,0
Patrick,Internacional,Meia,6.43,-0.7,-3.11,-0.5,2,2
Lucho González,Athlético-PR,Meia,5.0,0.0,0.0,0.0,2,0
Richard,Athlético-PR,Meia,0.71,0.0,-0.89,-1.35,2,2
Cazares,Fluminense,Meia,6.2,0.0,0.0,-0.1,2,1
Juninho,América-MG,Meia,3.98,2.2,0.01,1.45,2,2
Fernando Canesin,Athlético-PR,Meia,3.14,-1.0,-1.86,-1.0,2,1
Juninho Valoura,América-MG,Meia,7.0,0.0,0.0,0.0,2,0
Chico,Juventude,Meia,6.15,3.0,0.3,2.7,2,2
Benítez,São Paulo,Meia,9.0,0.0,0.0,0.0,2,0
Wagner,Juventude,Meia,5.0,0.0,0.0,0.0,2,0
Bruno Nazário,América-MG,Meia,5.46,0.1,-0.88,1.6,2,2
Ramon,América-MG,Meia,2.85,0.0,0.0,1.1,2,1
Raphael Veiga,Palmeiras,Meia,9.94,0.3,-2.59,1.65,2,2
Alê,América-MG,Meia,4.56,4.6,1.5,3.0,2,2
Christian,Athlético-PR,Meia,8.7,0.0,0.0,6.5,2,1
Zé Rafael ,Palmeiras,Meia,4.52,0.9,-1.19,0.55,2,2
João Paulo,Atlético-GO,Meia,10.95,9.7,3.64,7.6,2,2
Matheus Anjos,Athlético-PR,Meia,2.0,0.0,0.0,0.0,2,0
Zé Ricardo,América-MG,Meia,2.75,2.8,0.1,0.8,2,2
Gustavo Scarpa,Palmeiras,Meia,10.0,8.0,2.13,5.65,2,2
Yan Sasse,América-MG,Meia,3.0,0.0,0.0,0.0,2,0
Willian Maranhão,Atlético-GO,Meia,3.59,-0.3,-0.73,0.95,2,2
Victor Paraíba,Atlético-GO,Meia,2.0,0.0,0.0,0.0,2,0
Sabino,América-MG,Meia,3.0,0.0,0.0,0.0,2,0
Maicon,Grêmio,Meia,7.0,0.0,0.0,0.0,2,0
Baralhas,Atlético-GO,Meia,1.49,0.0,-0.6,0.0,2,2
Franco,Atlético-MG,Meia,4.0,0.0,0.0,0.0,2,0
Felipe Melo,Palmeiras,Meia,5.54,0.0,-1.42,1.0,2,2
Márcio Araújo,Sport,Meia,4.0,0.0,0.0,0.0,2,0
Hyoran,Atlético-MG,Meia,5.0,0.5,-1.54,0.45,2,2
Matheus Oliveira,Atlético-GO,Meia,2.0,0.0,0.0,0.0,2,0
